product_id,created_at,description,name,price,stock,updated_at,category_id
1,"2026-07-27 20:52:24","A romantic and rich blend of dark damask rose wrapped in smoky oud wood.","Velvet Rose & Oud Eau de Parfum",4599.00,68,"2026-07-27 20:52:24",1
2,"2026-07-27 20:52:24","An enchanting evening fragrance featuring night-blooming jasmine and warm vanilla.","Midnight Jasmine Bloom",3240.00,54,"2026-07-27 20:52:24",1
3,"2026-07-27 20:52:24","A sparkling, fresh scent inspired by morning dew and crisp ocean breezes.","Crystal Aqua Fresh",2170.00,81,"2026-07-27 20:52:24",1
4,"2026-07-27 20:52:24","A warm, sensual aroma with notes of golden amber, honey, and sandalwood.","Golden Amber Bliss",3357.00,59,"2026-07-27 20:52:24",1
5,"2026-07-27 20:52:24","A mysterious and elegant blend of black orchid, patchouli, and dark plum.","Orchid Twilight",4173.00,65,"2026-07-27 20:52:24",1
6,"2026-07-27 20:52:24","A light and airy floral scent capturing the essence of springtime cherry blossoms.","Spring Cherry Blossom",2419.00,98,"2026-07-27 20:52:24",1
7,"2026-07-27 20:52:24","A vibrant and energetic mix of mandarin, pink grapefruit, and sweet orange.","Citrus Sunset Splash",1726.00,13,"2026-07-27 20:52:24",1
8,"2026-07-27 20:52:24","A cozy and comforting fragrance wrapping you in sweet vanilla and soft cashmere musk.","Vanilla Cashmere",3088.00,86,"2026-07-27 20:52:24",1
9,"2026-07-27 20:52:24","A soft and romantic floral perfume blooming with fresh peonies and red apple.","Peony Dreamscape",4125.00,92,"2026-07-27 20:52:24",1
10,"2026-07-27 20:52:24","An earthy and sophisticated blend of cedarwood, vetiver, and subtle floral notes.","Mystic Cedarwood",2240.00,98,"2026-07-27 20:52:24",1
11,"2026-07-27 20:52:24","A delicate and pure fragrance featuring white lilies and a hint of fresh green leaves.","Enchanted Lily",3080.00,59,"2026-07-27 20:52:24",1
12,"2026-07-27 20:52:24","A playfully sweet scent with notes of sugared plums, berries, and spun sugar.","Sugared Plum Magic",1995.00,14,"2026-07-27 20:52:24",1
